theta,39.93424358974359,130,0
beta,54.010339743589746,130,0
iota,46.85658333333333,130,0
kappa,39.93424358974359,130,0
alpha,54.010339743589746,130,0
lambda,46.85658333333333,130,0
A/CONTRACT 1,27.04623076923077,130,1
A/CONTRACT 2,27.04623076923077,130,1
epsilon,39.93424358974359,130,0
eta,39.93424358974359,130,0
B/CONTRACT 1,17.163666666666668,130,1
B/CONTRACT 2,29.817961538461542,130,1
gamma,54.010339743589746,130,0
C/CONTRACT 1,17.163666666666668,130,1
C/CONTRACT 2,17.163666666666668,130,1
delta,46.85658333333333,130,0
D/CONTRACT 1,32.4723782051282,130,1
D/CONTRACT 2,24.774967948717947,130,1
zeta,26.156455128205128,130,0
E/CONTRACT 1,26.156455128205128,130,1
F/CONTRACT 1,40.9329358974359,130,1
